survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,name_th,name_en,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
3/30/2026,นางสาวภิญญาดา หอมจันทร์,B,B : สนามฟุตบอล,B019,98.351786,7.896147,244.2,9.8,ตีนเป็ด,Devil Tree,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,77.7,1117.19,477.84,27.56,1622.59,438.1,2060.68,990.57,3632.09,3.63
3/30/2026,นางสาวภิญญาดา หอมจันทร์,B,B : สนามฟุตบอล,B020,98.351983,7.895967,60,6.7,นนทรี,Yellow Flame Tree,Peltophorum pterocarpum,"นนทรี , นนทรีเหลือง",ป่าเบญจพรรณ,19.09,57.16,10.51,2.28,69.95,18.89,88.84,43.54,159.64,0.16
3/30/2026,นาย ปรเมศวร์ นุ่มศึก,B,B : สนามฟุตบอล,B021,98.351622,7.896293,38.6,6.2,นนทรี,Yellow Flame Tree,Peltophorum pterocarpum,"นนทรี , นนทรีเหลือง",ป่าเบญจพรรณ,12.28,23.35,3.92,0.95,28.23,7.62,35.85,17.57,64.42,0.06
3/30/2026,นาย ปรเมศวร์ นุ่มศึก,B,B : สนามฟุตบอล,B022,98.35152,7.89618,31,5.4,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,9.86,13.64,3.73,0.94,18.32,4.95,23.26,11.18,41,0.04
3/30/2026,นาย ปรเมศวร์ นุ่มศึก,B,B : สนามฟุตบอล,B023,98.353449,7.896506,49.4,6,กระถิน,Lead tree,Leucaena leucocephala,กระถินไทย,ป่าเบญจพรรณ,15.72,35.89,6.3,1.45,43.63,11.78,55.41,27.16,99.58,0.1
3/30/2026,นาย ปรเมศวร์ นุ่มศึก,B,B : สนามฟุตบอล,B024,98.353239,7.896245,49.2,2.8,หมาก,Areca palm,Areca catechu,"หมาก, หมากสง",กลุ่มปาล์ม,15.65,0,0,0,28.76,11.79,40.56,16.75,61.42,0.06
3/30/2026,นาย ปรเมศวร์ นุ่มศึก,B,B : สนามฟุตบอล,B025,98.353213,7.896012,102.6,8.8,ขี้เหล็ก,Kassod tree,Senna siamea,ขี้เหล็ก,ป่าเบญจพรรณ,32.65,200.49,41.86,7.12,249.47,67.36,316.83,155.28,569.35,0.57
3/30/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,B,B : สนามฟุตบอล,B026,98.353286,7.895918,52,6.2,จามจุรี,"Rain Tree , Monkey Pod",Samanea saman (Jacq.) Merr,ก้ามปู,ป่าเบญจพรรณ,16.55,40.72,7.23,1.64,49.59,13.39,62.98,30.87,113.18,0.11
3/30/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,B,B : สนามฟุตบอล,B027,98.353398,7.895728,65,10.1,จามจุรี,"Rain Tree , Monkey Pod",Samanea saman (Jacq.) Merr,ก้ามปู,ป่าเบญจพรรณ,20.68,97.31,18.88,3.76,119.96,32.39,152.34,74.66,273.77,0.27
3/30/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,B,B : สนามฟุตบอล,B028,98.35329,7.89553,187,10.7,มะฮอกกานี,Mahogany,Swietenia mahogany (L.) Jacq.,-,ป่าดิบชื้น,59.5,737.1,302.28,23.63,1063.01,287.01,1350.02,648.95,2379.5,2.38
3/30/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,B,B : สนามฟุตบอล,B029,98.353216,7.895568,116.2,6.2,ควีนปาล์ม,Queen palm,Syagrus romanzoffiana,ปาล์มราชินี,กลุ่มปาล์ม,36.97,0,0,0,64.94,26.62,91.56,37.81,138.65,0.14
3/30/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,B,B : สนามฟุตบอล,B030,98.353046,7.895491,120,9.2,ตีนเป็ด,Devil Tree,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,38.18,279.9,104.07,13.91,397.88,107.43,505.31,242.9,890.64,0.89
