survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,images_overall,images_leaves,images_flowers,images_fruits,name_th,name_en,species_id,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
2026-03-28,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A022,98.35154100,7.89585000,55,9.2,https://drive.google.com/open?id=1QztyBIIz6DWdc2iEoo-TklDMOXVNXQQr,https://drive.google.com/open?id=1tHDWtSMOacUG5IHsxVIWAdxZHPuOybUo,https://drive.google.com/open?id=1nogF8swrpR8jgMFYq05DxNomMYNELa_d,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,17.50,65.32,20.96,4.28,90.56,24.45,115.01,55.28,202.71,0.20
2026-03-28,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A023,98.35151400,7.89590700,47,7.2,https://drive.google.com/open?id=1N_E1ffUIpuKLyNYy5uoPwti7LgRnZeAN,https://drive.google.com/open?id=1urlp7cs57UVLAt8U13c_dUf1Yz8DLocX,,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,14.95,38.76,11.80,2.62,53.19,14.36,67.55,32.47,119.06,0.12
2026-03-28,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A024,98.35144400,7.89556600,120,12,https://drive.google.com/open?id=1Bwi04p7JOs0x6y3aFdoXrylJfQhjzch0,https://drive.google.com/open?id=1YGdhv8_3dAEimJSTaxQSm1KdQHNQLakB,https://drive.google.com/open?id=1oiapnXwKn_lMeQJWclmjLt3xqDF64bdT,,อโศก,Ashoka Tree,SP003,Saraca asoca,,ป่าดิบชื้น,38.18,358.61,136.72,16.30,511.63,138.14,649.76,312.34,1145.25,1.15
2026-03-28,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A025,98.35133100,7.89544700,87,11,https://drive.google.com/open?id=1rzD9Pq-JWRbV6nr8gr_ScxWsYUn1Jq2X,,,,ปีบ,Indian Cork Tree,SP019,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,27.68,181.50,37.52,6.54,225.56,60.90,286.46,140.40,514.78,0.51
2026-04-07,นาย เศรษฐพงศ์ บัวสวัสดิ์,A,A : ลานจอดรถ,A026,98.35170000,7.89521000,174,6.4,https://drive.google.com/open?id=1BCoV5UPE6SCCkPYlLBgcFlgr3xM57Wof,https://drive.google.com/open?id=1fXS0O_SiRihlzRsXSLsZC2ETFmB5OdMk,,,อโศก,Ashoka Tree,SP003,Saraca asoca,,ป่าดิบชื้น,55.36,399.03,153.78,17.37,570.18,153.95,724.13,348.09,1276.32,1.28
2026-04-07,นาย เศรษฐพงศ์ บัวสวัสดิ์,A,A : ลานจอดรถ,A027,98.35130000,7.89555000,200,3.2,https://drive.google.com/open?id=1r2XHe4bgUBb_KqP84okY00zJYEU8csox,https://drive.google.com/open?id=1d0Yb-v7dxiNmTmSiHylFFdqH9K0Cf61W,,https://drive.google.com/open?id=1MyMD5OyCzT6oNOBk03kLl8SpfHD4ZI_Z,ปาล์มน้ำมัน,Oil Palm,SP028,Elaeis guineensis,ปาล์ม,กลุ่มปาล์ม,63.64,0.00,0.00,0.00,33.35,13.67,47.03,19.42,71.22,0.07
2026-04-07,นาย เศรษฐพงศ์ บัวสวัสดิ์,A,A : ลานจอดรถ,A028,98.35120000,7.89567000,114.2,11.2,https://drive.google.com/open?id=1Cg59fqCKS7fNNx3zL9sDgz48Wl4vfzZh,https://drive.google.com/open?id=1Gu2uoxZfQXfRGmBhKl7OrdvDZXf7XOGb,,,หว้า,Java Plum,SP022,Syzygium cumini (L.) Skeels,หว้า,ป่าดิบชื้น,36.34,306.58,115.04,14.77,436.40,117.83,554.22,266.41,976.85,0.98
2026-04-07,นาย เศรษฐพงศ์ บัวสวัสดิ์,A,A : ลานจอดรถ,A029,98.35120000,7.89573000,149.4,16.5,https://drive.google.com/open?id=11rzRB9N9_EeKaxaIPISgMssoORtOjisw,https://drive.google.com/open?id=19xoRbOqVE0su110FUDVQ8aX22ntf9sgq,,,ยางนา,Resin Tree,SP042,Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,47.54,726.29,297.40,23.48,1047.17,282.74,1329.90,639.28,2344.04,2.34
2026-04-07,นาย เศรษฐพงศ์ บัวสวัสดิ์,A,A : ลานจอดรถ,A030,98.35120000,7.89598000,111.8,7.9,https://drive.google.com/open?id=1DblKNSk7CMyDZRVP7rH-ts3OgW0EnJao,https://drive.google.com/open?id=1ILhb6C5XYKp1zCwN2ssbJEGm1Mwov0LE,,https://drive.google.com/open?id=140QXi2hN7PgCoUr13bCQplBjeZ7hCvgt,ปาล์มน้ำมัน,Oil Palm,SP028,Elaeis guineensis,ปาล์ม,กลุ่มปาล์ม,35.57,0.00,0.00,0.00,81.18,33.28,114.46,47.27,173.33,0.17
2026-04-07,นาย ปรเมศวร์ นุ่มศึก,A,A : ลานจอดรถ,A031,98.35110000,7.89525000,56.4,5.4,https://drive.google.com/open?id=18M4VTknx8s7vFHhTBWladKfvWf39g8Ow,https://drive.google.com/open?id=1kisFrI7fxmRK51vKTthUCNuXI8bWUBKu,,https://drive.google.com/open?id=1ZIbEIGq04j6-C46yiNX8YaxsVeQZu61y,ปอหูช้าง,Parasite Tree,SP029,Macaranga tanarius,"หูหมี, หูช้าง, ปอหูช้าง",ป่าเบญจพรรณ,17.95,41.65,7.42,1.68,50.74,13.70,64.45,31.58,115.81,0.12
